DateTime, MainStage, SubStage, MetaData, CPU (%), Used Memory (MB), Max Heap (MB)
Tue Sep 03 08:19:25 IST 2024, <not set>, <not set>, <not set>, 0.00, 29.30, 4294.97
Tue Sep 03 08:19:25 IST 2024, Language detection, <not set>, Started, 13.95, 33.10, 4294.97
Tue Sep 03 08:19:26 IST 2024, Language detection, <not set>, Done, 0.00, 0.00, 4294.97
Tue Sep 03 08:19:26 IST 2024, Processing rules, <not set>, Started, 27.47, 28.99, 4294.97
Tue Sep 03 08:19:26 IST 2024, Processing rules, <not set>, <not set>, 66.99, 33.53, 4294.97
Tue Sep 03 08:19:27 IST 2024, Processing rules, <not set>, Done, 66.99, 33.53, 4294.97
Tue Sep 03 08:19:27 IST 2024, Base source processing, <not set>, Started, 82.76, 76.98, 4294.97
Tue Sep 03 08:19:27 IST 2024, Base source processing, <not set>, <not set>, 10.41, 60.57, 4294.97
Tue Sep 03 08:19:28 IST 2024, Base source processing, <not set>, <not set>, 0.04, 61.09, 4294.97
Tue Sep 03 08:19:28 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.AstCreationPass, Started, 9.95, 62.29, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.AstCreationPass, Done, 0.00, 0.00, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.JavaScriptTypeNodePass$$anon$1, Started, 22.50, 77.63, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.JavaScriptTypeNodePass$$anon$1, Done, 0.00, 0.00, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.JavaScriptMetaDataPass, Started, 18.07, 78.68, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.JavaScriptMetaDataPass, Done, 0.00, 0.00, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.DependenciesPass, Started, 11.63, 78.68, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.DependenciesPass, Done, 0.00, 0.00, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.ConfigPass, Started, 11.58, 78.68, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.ConfigPass, Done, 0.00, 0.00, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.PrivateKeyFilePass, Started, 51.05, 80.75, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.PrivateKeyFilePass, Done, 0.00, 0.00, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.ImportsPass, Started, 44.84, 80.75, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, io.joern.jssrc2cpg.passes.ImportsPass, Done, 0.00, 0.00, 4294.97
Tue Sep 03 08:19:29 IST 2024, Base source processing, <not set>, Done, 5.23, 60.83, 4294.97
Tue Sep 03 08:19:29 IST 2024, Applying default overlays, <not set>, Started, 42.45, 84.31, 4294.97
